layer,head,kind,frobenius_norm,spectral_norm,effective_rank,top_1_energy,top_4_energy,top_8_energy,top_16_energy,top_32_energy,top_64_energy
0,0,OV,9.339786845082386,4.22391899257949,55.89542215612507,0.20453010045219472,0.4026557656392926,0.5061126078098123,0.6535802942296556,0.8431606725075323,0.999999999999987
0,1,OV,7.6950054490521795,1.8352604798812369,58.548211808341684,0.056882354157823604,0.192656399272904,0.3304102861986263,0.5407962510664538,0.8067468298193087,0.9999999999999899
0,2,OV,8.795349022157001,3.2906669056474613,57.17074660083758,0.13997861460251718,0.3060637453175177,0.43371449501794596,0.6123838263382344,0.8323851597556301,0.9999999999999862
0,3,OV,6.7772180576699945,1.3912979384338535,59.420934723011754,0.04214415635858757,0.15374503608200554,0.28574888641031726,0.49611829674707864,0.7766818008713486,0.9999999999999883
0,4,OV,8.688560704737867,2.0091196955545625,60.92221593142447,0.053470708994471344,0.15590187444454534,0.2697390213623013,0.45935177925986354,0.73714601318833,0.9999999999999886
0,5,OV,6.9605689153871,1.5185828035166453,59.407789121427996,0.04759786575687574,0.17350187271726353,0.30906533608434816,0.5206052178276424,0.7878273022626361,0.9999999999999895
0,6,OV,10.910008896611007,5.590256366185521,56.22272638306514,0.2625507361055429,0.40157558212131683,0.5071041502685488,0.6530002321944594,0.8370520221491196,0.9999999999999869
0,7,OV,9.511992471784177,2.314027151757725,60.11647490455719,0.05918258154154052,0.17222338284314864,0.2923489090993092,0.48389146114711395,0.7539308994787535,0.9999999999999857
0,8,OV,11.20680068889418,6.445969898676711,50.66525342354696,0.3308363722277015,0.5514136576883576,0.6578819998262014,0.7743697829346543,0.9051758831188886,0.9999999999999885
0,9,OV,13.667435443027006,6.837975963949606,48.898713510063565,0.2503116582592934,0.4921051839696232,0.651235503907049,0.8012999366328192,0.9273774489401877,0.9999999999999889
0,10,OV,13.194042866289315,5.399227286262769,54.22133661002333,0.16745859320097461,0.40133481232120244,0.539995509275876,0.6928828445443189,0.8732758674944046,0.9999999999999876
0,11,OV,11.03870849896944,4.872816640084505,46.34524752936375,0.19486040870046017,0.5552273940283897,0.7258296496629058,0.8488426877607949,0.9423564907317346,0.9999999999999895
1,0,OV,10.70255204784959,2.377487444491439,62.809178953858236,0.049347114967843435,0.12825378737538867,0.21837684512061134,0.37983820860238326,0.6471997157472578,0.9999999999999832
1,1,OV,13.328034368633134,3.3429756265261434,59.84043151264198,0.06291210438889,0.18357582732416045,0.3069055240567908,0.49905394447985924,0.7597123976582452,0.9999999999999841
1,2,OV,10.162811921992361,4.467253721080776,51.3296101801001,0.19322061573816854,0.5197053556047811,0.6191540826373305,0.7404372073742461,0.8854889160645697,0.9999999999999872
1,3,OV,8.76966620550549,3.638291332675058,52.82458991103712,0.17211900106351316,0.510725610145876,0.6407999642769091,0.739286477895302,0.8697753580438203,0.9999999999999876
1,4,OV,14.392540823975528,4.624757918501867,57.73225542941753,0.1032530928339958,0.31186580072749764,0.44959342018027065,0.6104958807730757,0.8075239096800919,0.9999999999999849
1,5,OV,17.712126529904193,8.809325840726626,59.03549809527069,0.2473682382544461,0.3418099174989074,0.4317256629931246,0.566305406405283,0.7674752752173205,0.9999999999999871
1,6,OV,15.192775142859647,4.159937310725243,62.36396046992496,0.0749720440178353,0.17092510569255462,0.2622378332173163,0.4174761668087525,0.6675384353039363,0.9999999999999833
1,7,OV,19.87314139488542,4.7882743180164145,58.96880556667458,0.058053044552442395,0.19018546535751418,0.32259728731501897,0.5275643031616662,0.7884395593522454,0.9999999999999831
1,8,OV,20.92301972934298,10.87874200886413,48.847435388777875,0.27033895200959734,0.6539433127696,0.7400494807802651,0.8118132848577461,0.9079706036116105,0.9999999999999931
1,9,OV,18.06204441700622,11.47231879426372,47.805793525910396,0.4034303821143917,0.6718811449764253,0.7647364751208093,0.8351073967498716,0.917398212556467,0.9999999999999933
1,10,OV,12.404833197422317,5.683904375519865,49.742488704744474,0.20994796429960397,0.5747568259583173,0.7010996105509398,0.7886684777047027,0.8975961312874979,0.9999999999999897
1,11,OV,14.859478063867867,6.988994886615777,59.53407036931566,0.22121895429768063,0.32790318525599343,0.39474715913037745,0.5165994295552504,0.7273656624976709,0.9999999999999879
2,0,OV,11.223318582720902,3.235333972170627,60.70188644143698,0.08309897257599098,0.19884513559228018,0.3050250270018117,0.47249512540091,0.7180308010541491,0.9999999999999841
2,1,OV,25.447745843130622,6.382420252601512,60.085700030311365,0.06290311562769053,0.17498931065449896,0.3028554699554458,0.5023766968402944,0.7666093552197902,0.9999999999999842
2,2,OV,8.248662837737891,2.050092186993106,62.84980660476329,0.06177029515078092,0.14125075562300018,0.23027782546173517,0.38339507725633837,0.6419662684266233,0.9999999999999835
2,3,OV,9.787068281764597,2.365679204803641,61.72630267379268,0.058426042192324425,0.15946531944964618,0.2635239921994694,0.4344199587995057,0.6917347168134999,0.9999999999999838
2,4,OV,11.738816989546873,2.465364448694271,63.077836232267856,0.04410761693739564,0.11943376674538003,0.20960639767054698,0.36757561290668705,0.6327235303399255,0.9999999999999835
2,5,OV,10.269150600560215,2.738535103038651,60.91330086927364,0.07111604210174166,0.18493313261687833,0.3010322200610721,0.4762178686112515,0.7226926140359671,0.9999999999999842
2,6,OV,13.863092480743042,4.097734742978339,58.650212644880554,0.08737102748879112,0.2592928102784591,0.39354224233737795,0.5604518152873981,0.7788139515939235,0.9999999999999843
2,7,OV,10.594760521222423,4.381357897253335,54.768844972967486,0.1710153808829868,0.3679713285273048,0.4881964989552786,0.6402730127361651,0.8394337878771146,0.9999999999999858
2,8,OV,9.92720613002438,2.045505851891466,62.55827392013544,0.042456811256721336,0.1323459664277287,0.23341174184206936,0.40076317513928494,0.6640864389452986,0.9999999999999836
2,9,OV,8.829153689255005,1.924353540951137,61.54430718496729,0.047504152378396655,0.1614382380236028,0.27547100391691076,0.45777147841883825,0.7108285684951287,0.9999999999999832
2,10,OV,15.794949914601725,5.680231028462983,57.47018746668516,0.12932887313320027,0.2959977604940414,0.4304228120485656,0.6053765911850094,0.8131516353510954,0.999999999999985
2,11,OV,13.8702362046979,4.053372243893868,57.62699556452703,0.08540145394427932,0.30086492117809804,0.451845881747008,0.6023088638054178,0.7986474785825053,0.9999999999999879
3,0,OV,18.682859115610285,6.1921283971800385,58.89838291664432,0.10984827173419848,0.25648723611868895,0.39033730771415986,0.5771150886320447,0.7933979063213566,0.9999999999999849
3,1,OV,14.59456565321787,3.3665409353518565,61.704683660046044,0.05320904327595403,0.1738883906114207,0.28791265822901674,0.45750099422120405,0.7046417400686953,0.9999999999999833
3,2,OV,9.677946551024242,2.2419535434838216,62.50472782614689,0.053664461991532776,0.14851463732762982,0.2478793542532193,0.41307644404138866,0.6695043563303283,0.9999999999999833
3,3,OV,10.724647857841322,2.581926866880648,62.8823217834094,0.05795912110902184,0.13770688824623237,0.2264916513086479,0.38305600093509684,0.6392888927677691,0.9999999999999836
3,4,OV,26.705961899054,6.9082602403987154,60.52941568410175,0.06691460656556436,0.18987087863962,0.31211705724225486,0.4916514328664075,0.7427624704020563,0.9999999999999839
3,5,OV,25.53916205505452,5.537949686688078,61.39872878077239,0.047020227256877475,0.16633003550998002,0.28564363122149083,0.46962714325501687,0.7246269384482362,0.9999999999999835
3,6,OV,9.867450761403692,2.1770696551151127,62.34674578935373,0.048678222679411035,0.1439397007339021,0.24919680805973224,0.41984017865013273,0.6786556443038388,0.9999999999999832
3,7,OV,9.282967682033354,2.2337470683692016,61.89798742117702,0.05790209987061577,0.16791595884704372,0.2780834576800417,0.45115369048566817,0.6995526221743733,0.999999999999984
3,8,OV,11.339163272187966,2.9384076040121827,61.42781050788351,0.06715248073838664,0.19107725580044316,0.30569450242572105,0.4777337130223935,0.7155323970153366,0.9999999999999837
3,9,OV,11.55105885993459,2.353053773397755,62.97421738693759,0.04149732578706782,0.12264597041098593,0.21448388150882042,0.3758728937444839,0.6405189653790746,0.999999999999983
3,10,OV,27.70311190122237,7.424916054768021,61.935448567790175,0.0718333273043933,0.1680946559816889,0.271076037497677,0.4390853854233892,0.6874494572263989,0.999999999999984
3,11,OV,10.687060541700871,2.0928752283989405,62.94433422677773,0.03835042100848642,0.12425012519670192,0.22012428375716292,0.3831621225387309,0.6453889065318725,0.9999999999999833
4,0,OV,10.730137260358227,2.2291769649464115,62.46427358512589,0.04315971202560064,0.14230939894876535,0.24967765070684245,0.4216619803393462,0.6728862991571921,0.9999999999999833
4,1,OV,13.323654372231886,3.29784374331394,61.96168647532218,0.06126514027563255,0.16632951565957985,0.27559777559841003,0.4470612955858401,0.6945071092465398,0.9999999999999832
4,2,OV,24.761528718285657,5.976742796639205,61.174571456693116,0.05826050256438355,0.18783917877044545,0.30756359142034534,0.48544389821181394,0.73110437929869,0.9999999999999831
4,3,OV,11.570786923038066,2.5739130563987125,61.93970552793796,0.049483675879592286,0.15919107866123935,0.27542874921791316,0.4453112741547984,0.69594397771545,0.9999999999999835
4,4,OV,25.70932990921692,7.236353343723263,61.738597520219564,0.07922422786035532,0.181366803033882,0.2878429383714636,0.4546925182723561,0.7024248064909902,0.999999999999984
4,5,OV,13.872773657961337,2.9882962161501356,62.67565497463837,0.04640028933419785,0.12837790020346568,0.22567453985320324,0.39345083888648363,0.6601261549861935,0.9999999999999835
4,6,OV,26.850631826791094,6.374910578886693,60.85148524512383,0.0563688500803093,0.18350479880651818,0.31199521135717034,0.49692179346785753,0.7412699461573482,0.9999999999999831
4,7,OV,14.575228752421198,4.629116117130763,62.62567389498447,0.10087078264162302,0.17250173089213988,0.25344056805807064,0.39499554263585784,0.6313631189763798,0.9999999999999842
4,8,OV,33.48403880096895,8.498424445790608,61.12077992555337,0.06441709896826993,0.1759000700061582,0.2960833885246169,0.48310123586986853,0.7360647037967897,0.9999999999999838
4,9,OV,17.029013707444822,3.362840709035309,62.66798738142016,0.03899721583766444,0.1295417018748724,0.23064118944022508,0.4034690972950298,0.6636527479962374,0.9999999999999833
4,10,OV,30.02578703573653,7.023584700093699,61.18784091446307,0.05471782779861991,0.17445895072470832,0.29408735661173013,0.485041420740669,0.73143403907451,0.999999999999984
4,11,OV,7.246277408530558,1.6549133054047567,62.30902717978934,0.05215795835041894,0.16611420677154076,0.2701878505322959,0.4309303963840913,0.6710691905600624,0.999999999999984
5,0,OV,21.64796630990872,5.297855054803607,61.79387171801541,0.05989160306056893,0.16292112852118212,0.2754385061075156,0.44998054474265853,0.7010050167542602,0.9999999999999831
5,1,OV,20.8730802695365,4.2923474847845515,62.059035952267735,0.04228795261374416,0.15308109343066034,0.25886426785264777,0.4255401700649985,0.6824358561057466,0.9999999999999833
5,2,OV,20.139734295126228,3.763631353944371,62.918570140372594,0.03492260908589051,0.11925531097631958,0.21610145171805253,0.3832033716217424,0.6483011509374353,0.9999999999999829
5,3,OV,22.06449501490042,4.929901916554876,60.840934113987664,0.049921608836214375,0.18485108314261373,0.3118337895347143,0.5018629437632058,0.7443861204455194,0.9999999999999837
5,4,OV,18.900423575605267,4.5482166424200505,61.69611241675716,0.05790808611317665,0.18039221986367449,0.28858063412501506,0.46032235596900123,0.7046744038296401,0.9999999999999838
5,5,OV,19.43849868368083,4.420710510314315,60.46029315156573,0.05172002346078567,0.18090114334200944,0.3103902430145113,0.5077858283481648,0.7523395526856986,0.9999999999999831
5,6,OV,12.81518592053123,3.1876466338596336,62.34614970187818,0.06187148232085594,0.17235529421520704,0.27070810812008594,0.42438547073173094,0.6664419091765184,0.9999999999999832
5,7,OV,17.7773174852741,3.3364238083216353,63.14214207158395,0.03522329386778444,0.10948395077161438,0.19768846288903175,0.3579448034184098,0.6266613004350725,0.9999999999999829
5,8,OV,22.339418700381632,4.697682498943402,61.98770476597369,0.044220493571002745,0.15694687412850095,0.27237408848509453,0.4438586907270118,0.6954565711362867,0.9999999999999835
5,9,OV,41.5509027043316,10.73249228136578,57.23442064969265,0.06671757351744384,0.2262370738520488,0.3733087246586928,0.573493844025312,0.8114203304603377,0.9999999999999839
5,10,OV,22.284303457132893,4.8364146322518256,61.81566433923272,0.04710303870332348,0.16354888702151538,0.27933723122036686,0.45581669303608735,0.7062745648729767,0.9999999999999832
5,11,OV,30.132549470617246,7.836961471334472,62.56160962182755,0.06764312558596768,0.14624241576344246,0.2365871521840713,0.3972311556289009,0.6610069487901803,0.9999999999999839
6,0,OV,18.59033148718917,4.317798302744227,61.8050160473225,0.05394490528701444,0.1642446869327405,0.28248679436610863,0.4549247663970555,0.7040280525599792,0.9999999999999833
6,1,OV,22.022631321378185,4.4986643484327065,62.86897498569708,0.04172811488231623,0.13110961610181382,0.22663227421426704,0.38681198218486695,0.6468439168464387,0.9999999999999836
6,2,OV,42.40080459228025,13.672087754186835,57.79598958150606,0.10397321636818617,0.2776919384198609,0.4353882569128083,0.6253457176009299,0.814207300387907,0.9999999999999838
6,3,OV,39.27018238937222,8.231330264751664,62.16565092328626,0.04393536287175775,0.14587250169942292,0.25333445939804644,0.42884169224578544,0.6902825371888989,0.9999999999999832
6,4,OV,27.42433300597565,6.4039121541312705,61.8326694132314,0.05452787637164776,0.17421300234096954,0.2793177493452649,0.44909824835939904,0.7008736612521275,0.9999999999999832
6,5,OV,33.790184878185656,6.5821489208487245,62.60332788057033,0.037944975085345736,0.13052908636091184,0.2332303315325132,0.40220848462024106,0.6658326011068727,0.9999999999999835
6,6,OV,39.72077444106624,8.75329412543897,61.62894029522404,0.048563237177708864,0.16740828741634683,0.2864255477431563,0.46710872772931555,0.7140437872552299,0.999999999999983
6,7,OV,29.60239564486732,9.756221099941081,60.100683413699926,0.10861993792410536,0.27803478667686554,0.3800572790285668,0.5327477102337094,0.7493335811797096,0.999999999999984
6,8,OV,18.36834106356197,4.04552399609368,62.148467444549205,0.04850758948564119,0.1558804762743251,0.2678298534258264,0.4363032180697259,0.6856463531720658,0.9999999999999835
6,9,OV,20.933989256974616,4.13368442153599,62.63877130068389,0.038991562811077234,0.13321022274810376,0.23472160883633725,0.40368453185958164,0.6596429220527018,0.999999999999983
6,10,OV,42.070019253393234,13.335321133664902,59.70335634730967,0.1004758145397317,0.22743863680177395,0.3600122923015673,0.550674874894974,0.7771286659931372,0.9999999999999845
6,11,OV,19.011760466814895,3.5887482826882633,63.00204271873694,0.03563209253928923,0.1166056134204855,0.21012527758692293,0.37651039190429,0.6415274013805863,0.999999999999983
7,0,OV,16.68584120553339,4.7771102380268715,61.82390588666491,0.0819661080463603,0.18744666749883132,0.28773232481252403,0.45149430333260204,0.6943347047804342,0.9999999999999841
7,1,OV,28.5106417354058,6.791446778423316,62.18546934539178,0.0567427810938327,0.1652458998049992,0.2687331906660169,0.43415188184943765,0.6829056604235105,0.9999999999999833
7,2,OV,30.816956420416826,5.863294958967727,63.12101805075553,0.03619961872255997,0.10895296597604018,0.19831166222194577,0.3606189325918933,0.6328859934163559,0.9999999999999835
7,3,OV,34.80680492040713,7.2538930394149475,62.22345199168094,0.04343241482435168,0.14412180588991552,0.2534831200392787,0.4274036450536773,0.6862159356596951,0.9999999999999839
7,4,OV,38.604553804951784,7.912138091210421,62.189205380679276,0.04200593368957123,0.1526208847060745,0.26142537369147173,0.4288451240936746,0.6866415932003289,0.9999999999999838
7,5,OV,25.987744522402856,5.45486436234324,62.74067636585979,0.04405860425214113,0.13600741150160758,0.23186065892035632,0.3942146758060603,0.6540623192319649,0.9999999999999833
7,6,OV,50.3318383883263,17.680937053986575,60.12350493843525,0.12340278727714296,0.24046130652762815,0.35398333122223713,0.5226845763888223,0.7506156008226778,0.999999999999984
7,7,OV,32.542886595916684,7.122816570918533,62.60547846254688,0.047906161607950436,0.14019763322924939,0.2386919160622887,0.4052434864385636,0.6641521700624334,0.9999999999999832
7,8,OV,18.71700340105489,3.9144956649670974,62.99001076152546,0.043740021720965645,0.12056101304390773,0.21124412351356858,0.3715962151657378,0.6381488547934953,0.9999999999999835
7,9,OV,28.367134867361887,5.552613974660805,62.62469106035189,0.03831457535697007,0.13722198329286478,0.23917248263122995,0.40459893724743234,0.6628582368194101,0.999999999999983
